Year (BP),Minimum,5th Percentile,Median,95th Percentile,Maximum,Area Mean,CRR
4000,1.436965907,1.436965907,1.436965907,1.436965907,1.436965907,1.436965907,143.6965907
3970,1.563841491,1.563841491,1.563841491,1.563841491,1.563841491,1.563841491,156.3841491
3940,1.421984822,1.421984822,1.421984822,1.421984822,1.421984822,1.421984822,142.1984822
3910,1.453116657,1.453116657,1.453116657,1.453116657,1.453116657,1.453116657,145.3116657
3880,1.458708055,1.458708055,1.458708055,1.458708055,1.458708055,1.458708055,145.8708055
3850,1.453482718,1.453482718,1.453482718,1.453482718,1.453482718,1.453482718,145.3482718
3820,1.414800635,1.414800635,1.414800635,1.414800635,1.414800635,1.414800635,141.4800635
3790,1.416987628,1.416987628,1.416987628,1.416987628,1.416987628,1.416987628,141.6987628
3760,1.465846684,1.465846684,1.465846684,1.465846684,1.465846684,1.465846684,146.5846684
3730,1.403300134,1.403300134,1.403300134,1.403300134,1.403300134,1.403300134,140.3300134
3700,1.447739425,1.447739425,1.447739425,1.447739425,1.447739425,1.447739425,144.7739425
3670,1.423913153,1.423913153,1.423913153,1.423913153,1.423913153,1.423913153,142.3913153
3640,1.398680656,1.398680656,1.398680656,1.398680656,1.398680656,1.398680656,139.8680656
3610,1.42917484,1.42917484,1.42917484,1.42917484,1.42917484,1.42917484,142.917484
3580,1.618656331,1.618656331,1.618656331,1.618656331,1.618656331,1.618656331,161.8656331
3550,1.488727827,1.488727827,1.488727827,1.488727827,1.488727827,1.488727827,148.8727827
3520,1.445586402,1.445586402,1.445586402,1.445586402,1.445586402,1.445586402,144.5586402
3490,1.464445115,1.464445115,1.464445115,1.464445115,1.464445115,1.464445115,146.4445115
3460,1.388729894,1.388729894,1.388729894,1.388729894,1.388729894,1.388729894,138.8729894
3430,1.458791581,1.458791581,1.458791581,1.458791581,1.458791581,1.458791581,145.8791581
3400,1.439824586,1.439824586,1.439824586,1.439824586,1.439824586,1.439824586,143.9824586
3370,1.413919918,1.413919918,1.413919918,1.413919918,1.413919918,1.413919918,141.3919918
3340,1.502234341,1.502234341,1.502234341,1.502234341,1.502234341,1.502234341,150.2234341
3310,1.496820899,1.496820899,1.496820899,1.496820899,1.496820899,1.496820899,149.6820899
3280,1.490620003,1.490620003,1.490620003,1.490620003,1.490620003,1.490620003,149.0620003
3250,1.499465071,1.499465071,1.499465071,1.499465071,1.499465071,1.499465071,149.9465071
3220,1.407830951,1.407830951,1.407830951,1.407830951,1.407830951,1.407830951,140.7830951
3190,1.658420255,1.658420255,1.658420255,1.658420255,1.658420255,1.658420255,165.8420255
3160,1.452488769,1.452488769,1.452488769,1.452488769,1.452488769,1.452488769,145.2488769
3130,1.465701315,1.465701315,1.465701315,1.465701315,1.465701315,1.465701315,146.5701315
3100,1.420075649,1.420075649,1.420075649,1.420075649,1.420075649,1.420075649,142.0075649
3070,1.535910902,1.535910902,1.535910902,1.535910902,1.535910902,1.535910902,153.5910902
3040,1.561962394,1.561962394,1.561962394,1.561962394,1.561962394,1.561962394,156.1962394
3010,1.561851651,1.561851651,1.561851651,1.561851651,1.561851651,1.561851651,156.1851651
2980,1.604612964,1.604612964,1.604612964,1.604612964,1.604612964,1.604612964,160.4612964
2950,1.480047466,1.480047466,1.480047466,1.480047466,1.480047466,1.480047466,148.0047466
2920,1.449785478,1.449785478,1.449785478,1.449785478,1.449785478,1.449785478,144.9785478
2890,1.425564543,1.425564543,1.425564543,1.425564543,1.425564543,1.425564543,142.5564543
2860,1.405728397,1.405728397,1.405728397,1.405728397,1.405728397,1.405728397,140.5728397
2830,1.458339583,1.458339583,1.458339583,1.458339583,1.458339583,1.458339583,145.8339583
2800,1.514404595,1.514404595,1.514404595,1.514404595,1.514404595,1.514404595,151.4404595
2770,1.452319808,1.452319808,1.452319808,1.452319808,1.452319808,1.452319808,145.2319808
2740,1.595109647,1.595109647,1.595109647,1.595109647,1.595109647,1.595109647,159.5109647
2710,1.440752468,1.440752468,1.440752468,1.440752468,1.440752468,1.440752468,144.0752468
2680,1.456978679,1.456978679,1.456978679,1.456978679,1.456978679,1.456978679,145.6978679
2650,1.564140362,1.564140362,1.564140362,1.564140362,1.564140362,1.564140362,156.4140362
2620,1.481730881,1.481730881,1.481730881,1.481730881,1.481730881,1.481730881,148.1730881
2590,1.468043796,1.468043796,1.468043796,1.468043796,1.468043796,1.468043796,146.8043796
2560,1.44349466,1.44349466,1.44349466,1.44349466,1.44349466,1.44349466,144.349466
2530,1.473493786,1.473493786,1.473493786,1.473493786,1.473493786,1.473493786,147.3493786
2500,1.443472471,1.443472471,1.443472471,1.443472471,1.443472471,1.443472471,144.3472471
2470,1.462388046,1.462388046,1.462388046,1.462388046,1.462388046,1.462388046,146.2388046
2440,1.619128347,1.619128347,1.619128347,1.619128347,1.619128347,1.619128347,161.9128347
2410,1.432538831,1.432538831,1.432538831,1.432538831,1.432538831,1.432538831,143.2538831
2380,1.484744459,1.484744459,1.484744459,1.484744459,1.484744459,1.484744459,148.4744459
2350,1.448467476,1.448467476,1.448467476,1.448467476,1.448467476,1.448467476,144.8467476
2320,1.489423712,1.489423712,1.489423712,1.489423712,1.489423712,1.489423712,148.9423712
2290,1.539278503,1.539278503,1.539278503,1.539278503,1.539278503,1.539278503,153.9278503
2260,1.565751869,1.565751869,1.565751869,1.565751869,1.565751869,1.565751869,156.5751869
2230,1.375029655,1.375029655,1.375029655,1.375029655,1.375029655,1.375029655,137.5029655
2200,1.612270365,1.612270365,1.612270365,1.612270365,1.612270365,1.612270365,161.2270365
2170,1.435590222,1.435590222,1.435590222,1.435590222,1.435590222,1.435590222,143.5590222
2140,1.467586627,1.467586627,1.467586627,1.467586627,1.467586627,1.467586627,146.7586627
2110,1.60038407,1.60038407,1.60038407,1.60038407,1.60038407,1.60038407,160.038407
2080,1.49691728,1.49691728,1.49691728,1.49691728,1.49691728,1.49691728,149.691728
2050,1.521779485,1.521779485,1.521779485,1.521779485,1.521779485,1.521779485,152.1779485
2020,1.546028308,1.546028308,1.546028308,1.546028308,1.546028308,1.546028308,154.6028308
1990,1.359436017,1.359436017,1.359436017,1.359436017,1.359436017,1.359436017,135.9436017
1960,1.410151165,1.410151165,1.410151165,1.410151165,1.410151165,1.410151165,141.0151165
1930,1.402133293,1.402133293,1.402133293,1.402133293,1.402133293,1.402133293,140.2133293
1900,1.37399587,1.37399587,1.37399587,1.37399587,1.37399587,1.37399587,137.399587
1870,1.410001518,1.410001518,1.410001518,1.410001518,1.410001518,1.410001518,141.0001518
1840,1.472730241,1.472730241,1.472730241,1.472730241,1.472730241,1.472730241,147.2730241
1810,1.443749428,1.443749428,1.443749428,1.443749428,1.443749428,1.443749428,144.3749428
1780,1.48270288,1.48270288,1.48270288,1.48270288,1.48270288,1.48270288,148.270288
1750,1.590812871,1.590812871,1.590812871,1.590812871,1.590812871,1.590812871,159.0812871
1720,1.373900291,1.373900291,1.373900291,1.373900291,1.373900291,1.373900291,137.3900291
1690,1.559511116,1.559511116,1.559511116,1.559511116,1.559511116,1.559511116,155.9511116
1660,1.45522808,1.45522808,1.45522808,1.45522808,1.45522808,1.45522808,145.522808
1630,1.482327226,1.482327226,1.482327226,1.482327226,1.482327226,1.482327226,148.2327226
1600,1.444342095,1.444342095,1.444342095,1.444342095,1.444342095,1.444342095,144.4342095
1570,1.466502195,1.466502195,1.466502195,1.466502195,1.466502195,1.466502195,146.6502195
1540,1.572205864,1.572205864,1.572205864,1.572205864,1.572205864,1.572205864,157.2205864
1510,1.460969064,1.460969064,1.460969064,1.460969064,1.460969064,1.460969064,146.0969064
1480,1.603309178,1.603309178,1.603309178,1.603309178,1.603309178,1.603309178,160.3309178
1450,1.63332843,1.63332843,1.63332843,1.63332843,1.63332843,1.63332843,163.332843
1420,1.393610929,1.393610929,1.393610929,1.393610929,1.393610929,1.393610929,139.3610929
1390,1.517718456,1.517718456,1.517718456,1.517718456,1.517718456,1.517718456,151.7718456
1360,1.412009291,1.412009291,1.412009291,1.412009291,1.412009291,1.412009291,141.2009291
1330,1.611090566,1.611090566,1.611090566,1.611090566,1.611090566,1.611090566,161.1090566
1300,1.455236295,1.455236295,1.455236295,1.455236295,1.455236295,1.455236295,145.5236295
1270,1.466937561,1.466937561,1.466937561,1.466937561,1.466937561,1.466937561,146.6937561
1240,1.560128011,1.560128011,1.560128011,1.560128011,1.560128011,1.560128011,156.0128011
1210,1.53011824,1.53011824,1.53011824,1.53011824,1.53011824,1.53011824,153.011824
1180,1.432791516,1.432791516,1.432791516,1.432791516,1.432791516,1.432791516,143.2791516
1150,1.545884943,1.545884943,1.545884943,1.545884943,1.545884943,1.545884943,154.5884943
1120,1.432980077,1.432980077,1.432980077,1.432980077,1.432980077,1.432980077,143.2980077
1090,1.513557468,1.513557468,1.513557468,1.513557468,1.513557468,1.513557468,151.3557468
1060,1.371038784,1.371038784,1.371038784,1.371038784,1.371038784,1.371038784,137.1038784
1030,1.47160375,1.47160375,1.47160375,1.47160375,1.47160375,1.47160375,147.160375
1000,1.559673349,1.559673349,1.559673349,1.559673349,1.559673349,1.559673349,155.9673349
970,1.553436488,1.553436488,1.553436488,1.553436488,1.553436488,1.553436488,155.3436488
940,1.481428563,1.481428563,1.481428563,1.481428563,1.481428563,1.481428563,148.1428563
910,1.476981218,1.476981218,1.476981218,1.476981218,1.476981218,1.476981218,147.6981218
880,1.502361974,1.502361974,1.502361974,1.502361974,1.502361974,1.502361974,150.2361974
850,1.405190833,1.405190833,1.405190833,1.405190833,1.405190833,1.405190833,140.5190833
820,1.434231107,1.434231107,1.434231107,1.434231107,1.434231107,1.434231107,143.4231107
790,1.583618521,1.583618521,1.583618521,1.583618521,1.583618521,1.583618521,158.3618521
760,1.52506909,1.52506909,1.52506909,1.52506909,1.52506909,1.52506909,152.506909
730,1.514303988,1.514303988,1.514303988,1.514303988,1.514303988,1.514303988,151.4303988
700,1.543623283,1.543623283,1.543623283,1.543623283,1.543623283,1.543623283,154.3623283
670,1.621495979,1.621495979,1.621495979,1.621495979,1.621495979,1.621495979,162.1495979
640,1.447772061,1.447772061,1.447772061,1.447772061,1.447772061,1.447772061,144.7772061
610,1.484888379,1.484888379,1.484888379,1.484888379,1.484888379,1.484888379,148.4888379
580,1.479744316,1.479744316,1.479744316,1.479744316,1.479744316,1.479744316,147.9744316
550,1.529970179,1.529970179,1.529970179,1.529970179,1.529970179,1.529970179,152.9970179
520,1.431836541,1.431836541,1.431836541,1.431836541,1.431836541,1.431836541,143.1836541
490,1.414985835,1.414985835,1.414985835,1.414985835,1.414985835,1.414985835,141.4985835
460,1.388313944,1.388313944,1.388313944,1.388313944,1.388313944,1.388313944,138.8313944
430,1.476973691,1.476973691,1.476973691,1.476973691,1.476973691,1.476973691,147.6973691
400,1.418257236,1.418257236,1.418257236,1.418257236,1.418257236,1.418257236,141.8257236
370,1.568570184,1.568570184,1.568570184,1.568570184,1.568570184,1.568570184,156.8570184
340,1.520632599,1.520632599,1.520632599,1.520632599,1.520632599,1.520632599,152.0632599
310,1.508559291,1.508559291,1.508559291,1.508559291,1.508559291,1.508559291,150.8559291
280,1.489177508,1.489177508,1.489177508,1.489177508,1.489177508,1.489177508,148.9177508
250,1.460011493,1.460011493,1.460011493,1.460011493,1.460011493,1.460011493,146.0011493
220,1.514573073,1.514573073,1.514573073,1.514573073,1.514573073,1.514573073,151.4573073
190,1.481491399,1.481491399,1.481491399,1.481491399,1.481491399,1.481491399,148.1491399
160,1.472375688,1.472375688,1.472375688,1.472375688,1.472375688,1.472375688,147.2375688
130,1.537939863,1.537939863,1.537939863,1.537939863,1.537939863,1.537939863,153.7939863
100,1.449040845,1.449040845,1.449040845,1.449040845,1.449040845,1.449040845,144.9040845
